,age,job,marital,education,housing,loan
0,100,65,100,78,100,100
1,95,70,80,85,55,100
2,55,70,100,85,100,100
3,95,70,100,78,50,50
4,50,85,100,100,100,100
5,100,70,80,100,55,100
6,100,85,80,100,100,100
7,90,100,100,100,100,100
8,100,70,70,92,55,100
9,95,65,100,78,55,100
10,55,70,80,71,100,100
11,95,95,80,64,55,100
12,95,85,100,85,55,100
13,50,65,100,64,100,100
14,55,85,80,85,55,100
15,55,70,80,100,55,100
16,90,85,70,100,55,100
17,50,85,70,100,100,100
18,50,100,100,100,100,55
19,50,65,100,64,55,55
20,50,70,100,71,100,100
21,95,75,70,85,55,100
22,55,75,80,100,100,55
23,90,90,100,85,55,55
24,90,75,100,92,100,100
25,95,75,100,92,100,100
26,95,75,70,92,55,100
27,55,65,100,71,55,100
28,50,85,80,50,55,100
29,100,85,100,100,55,100
30,95,75,100,100,100,55
31,100,70,100,85,100,100
32,50,75,80,100,55,100
33,100,65,80,64,100,100
34,50,75,100,100,55,100
35,55,65,80,78,100,100
36,95,65,100,71,100,100
37,50,90,70,85,55,100
38,100,75,80,50,100,100
39,55,55,80,50,55,100
40,95,70,100,85,100,100
41,95,65,100,78,50,50
42,50,80,100,100,55,100
43,50,100,70,92,100,100
44,100,60,100,64,100,55
45,95,90,80,100,55,100
46,100,85,100,100,55,100
47,55,85,80,78,55,100
48,90,70,100,92,55,100
49,100,70,100,85,55,55
50,50,80,100,100,100,100
51,100,65,100,78,100,100
52,95,90,100,85,55,100
53,55,75,100,100,100,55
54,100,85,80,100,100,100
55,60,100,70,100,55,100
56,55,85,80,100,100,100
57,100,85,100,100,100,100
58,55,85,100,100,55,100
59,60,85,70,92,100,100
60,50,100,100,92,100,55
61,95,65,100,78,100,100
62,50,85,100,50,100,100
63,50,70,100,85,100,100
64,90,65,70,71,100,100
65,95,85,80,100,100,100
66,50,75,70,50,100,55
67,55,70,70,85,55,55
68,100,65,100,78,55,100
69,95,95,100,100,55,100
70,95,75,80,92,55,100
71,50,70,100,85,100,100
72,55,85,80,85,100,100
73,100,90,100,100,100,100
74,100,75,80,85,100,55
75,100,85,100,100,100,100
76,100,85,80,100,100,100
77,95,95,80,100,55,100
78,100,52,100,78,55,100
79,100,75,80,100,55,100
80,50,75,100,92,100,100
81,90,85,70,85,100,100
82,60,70,100,64,55,100
83,60,80,100,100,100,100
84,95,100,70,100,100,100
85,50,85,100,100,100,100
86,95,52,80,100,100,55
87,50,70,80,78,50,50
88,50,85,80,100,55,100
89,95,65,100,71,100,100
90,90,52,80,85,100,100
91,95,65,100,78,55,100
92,90,65,100,85,55,100
93,55,95,100,100,100,100
94,100,65,80,71,100,100
95,90,90,100,92,55,100
96,60,80,100,71,55,100
97,100,75,100,92,100,100
98,50,90,100,100,55,100
99,50,85,100,50,55,100
100,95,90,100,100,55,55
101,60,85,100,85,100,100
102,95,70,100,85,100,55
103,95,85,80,50,100,100
104,100,70,80,78,100,100
105,50,70,100,85,100,100
106,90,100,100,92,55,100
107,95,65,100,71,100,100
108,100,65,100,78,55,100
109,50,90,100,100,100,100
110,60,85,100,100,100,55
111,50,65,100,64,100,55
112,100,65,100,71,100,100
113,50,90,100,100,100,55
114,95,85,100,100,55,100
115,90,100,100,100,100,100
116,90,90,70,71,100,100
117,50,70,100,85,55,100
118,95,65,100,85,55,55
119,60,80,100,78,55,55
120,55,95,100,92,100,100
121,95,65,70,78,100,100
122,55,70,80,85,55,100
123,50,65,100,92,100,55
124,50,100,100,64,55,55
125,50,75,70,78,55,100
126,100,65,100,78,100,100
127,50,85,100,78,100,100
128,50,80,100,64,55,100
129,100,95,70,50,55,100
130,55,90,100,100,55,55
131,50,90,100,100,100,100
132,95,85,70,100,55,100
133,55,70,80,92,100,100
134,90,75,100,92,100,100
135,60,80,70,85,100,100
136,100,85,100,100,55,55
137,100,85,100,100,55,100
